OriginalTerm,MatchingTerm1,MatchingTerm2,MatchingTerm3,MatchingTerm4,MatchingTerm5
Steam from flue gas,,,,,
Steel mill slag,steel_making_slag,steel_slag,steelmaking_slag,steel_slags,
Steel scrap contractors,steel_scrap,steel_scraps,,,
Steel scrap(Le),steel_scrap,steel_scraps,,,
Stone and ceramic industry1,ceramic_industry,,,,
Stone and ceramic industry2,ceramic_industry,,,,
Stone cuttings,stone_cutting,,,,
Stone mining,,,,,
Sugar mill,sugar_mills,,,,
Sugarcane field,sugarcane_field,,,,
Sulphur fertilizer,sulfur_fertilizer,,,,
Summit Fertilizers,fertilizer_production,,,,
SungAm MWIF,,,,,
SungAm MWLF,,,,,
SunKyoung Watech,,,,,
Svensk Biogas,biogas_production,biogas_plant,,,
Synthetic fiber plant,synthetic_fiber,synthetic_fibers,,,
Tae Kwang 1st company,,,,,
Tae Young Industry,,,,,
TaiDing recycling coporation,,,,,
Takaoka lioho (Tianjin) industries,,,,,
Tank farm,tank_farm,,,,
Teawon Mulsan,,,,,
Tech-water,,,,,
TEDA chemical park corporation,,,,,
TEDA eco-landscaping Co.,,,,,
TEDA Wastewater treatment plant,wastewater_treatment_plant,,,,
Textile company,textile_industry,,,,
Textile industry1,textile_industry,,,,
Textile industry2,textile_industry,,,,
The Municipality of Kalundborg,municipality,,,,
Tianjin Aoxing Rubber Co.,rubber_product,rubber_products,,,
Tianjin AW automatic transmission Co.,,,,,
Tianjin Cement mill,cement_mill,,,,
Tianjin FAW toyota engine Co.,engine_manufacturer,,,,
Tianjin FAW toyota motor Co.,,,,,
Tianjin Motorola China,,,,,
Tianjin pipe corporation,,,,,
Tianjin Rainbow Hills cast iron Co.,cast_iron,,,,
Tianjin Toho Lead recycling Co.,lead_recycling,,,,
Tianjin Tong Yee industrial Co.,,,,,
Tianjin Toyotsu Aluminum smelting,aluminum_electrolysis,,,,
Tianjin toyotsu resource management Co.,,,,,
Tianjin Yuasa Batteries Co.,battery_production,,,,
Tidnings-Retur,,,,,
Tiwest Pigement Plant,pigments,pigment,,,
Tiwest Pigment Plant,pigments,pigment,,,
TNC,,,,,
Toyota family auto part makers,auto_parts,,,,
Toyota FAW(tianjin)Dies Co.,,,,,
Transfield SMP,,,,,
Tyco Water,,,,,
Ulsan Pacific chemical,,,,,
US aluminum scarps,aluminum_scraps,aluminum_scrap,,,
Used CO2,waste_co2,,,,
Used oil dealer1,used_oil,,,,
Used oil dealer2,used_oil,,,,
Used oil dealer3,used_oil,,,,
Used plastics,used_plastics,,,,
Used tires dealers,used_tire,used_tires,,,
Various lead acid battery users,lead_acid_batteries,lead_acid_battery,,,
Vehicle gas,vehicle_gas,,,,
waste activated carbon(Le),waste_activated_carbon,,,,
Waste Carbon (Le),waste_carbon,,,,
Waste emulsion (Le),waste_emulsion,,,,
Waste HCl(Le),hcl,,,,
Waste liquid(Le),waste_liquid,,,,
Waste paper carton,carton,,,,
Waste paper dealer,waste_paper_recycling,,,,
Waste polystyrene plastics,waste_polystyrene,polystyrene_waste,,,
Waste sugar slag(Le),sugar_residue,,,,
Waste vitriol,vitriol,,,,
Waste yeast(Le),waste_yeast,,,,
Waste-water,wastewater,,,,
Water Corporation,water_corporation,,,,
Water pretreatment,water_pretreatment,,,,
Water purification agents plant,water_purification_agent,water_purification_plant,,,
Wesfarmers LPG,lpg,,,,
White liquid treatment plant,,,,,
White sludge,,,,,
WMC Nickel Refinery,nickel,,,,
Wood residuals,wood_waste,wood_wastes,,,
Yeast Liquor(le),,,,,
Yeast slurry,yeast_sludge,,,,
YongSan Chemical,,,,,
YongYeon MWWTF,municipal_waste_water_treatment_plant,,,,
YongYoun MWWTF,municipal_waste_water_treatment_plant,,,,
YooSung WIF,,,,,
Zirconium sulphate,zirconium_sulfate,,,,
Zirconium Sulphate,zirconium_sulfate,,,,
